name,cohort_id,cohort_entries,cohort_subjects,database_id
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent Human immunodeficiency virus infection,135001062,46,46,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent Human immunodeficiency virus infection,136001062,-5,-5,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent Human immunodeficiency virus infection,137001062,-5,-5,PREMIER
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent Human immunodeficiency virus infection,138001062,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent Human immunodeficiency virus infection,139001062,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent Human immunodeficiency virus infection,140001062,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent Human immunodeficiency virus infection,141001062,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation without  with  Prevalent Hepatitis C,111001072,7,7,PREMIER
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation without  with  Prevalent Hepatitis C,112001072,8,8,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation without  with  Prevalent Hepatitis C,113001072,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation without  with  Prevalent Hepatitis C,114001072,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation without  with  Prevalent Hepatitis C,115001072,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation without  with  Prevalent Hepatitis C,116001072,NA,NA,NA
Persons tested for SARS-CoV-2 with at least 365d prior observation without  with  Prevalent Hepatitis C,126001072,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation without  with  Prevalent Hepatitis C,127001072,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation without  with  Prevalent Hepatitis C,128001072,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation without  with  Prevalent Hepatitis C,129001072,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent Hepatitis C,130001072,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent Hepatitis C,131001072,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent Hepatitis C,132001072,368,368,PREMIER
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent Hepatitis C,133001072,555,555,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent Hepatitis C,134001072,30,30,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent Hepatitis C,135001072,46,46,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent Hepatitis C,136001072,-5,-5,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent Hepatitis C,137001072,-5,-5,PREMIER
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent Hepatitis C,138001072,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent Hepatitis C,139001072,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent Hepatitis C,140001072,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent Hepatitis C,141001072,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation without  with  Prevalent obesity,111001082,5,5,PREMIER
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation without  with  Prevalent obesity,112001082,6,6,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation without  with  Prevalent obesity,113001082,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation without  with  Prevalent obesity,114001082,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation without  with  Prevalent obesity,115001082,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation without  with  Prevalent obesity,116001082,NA,NA,NA
Persons tested for SARS-CoV-2 with at least 365d prior observation without  with  Prevalent obesity,126001082,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation without  with  Prevalent obesity,127001082,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation without  with  Prevalent obesity,128001082,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation without  with  Prevalent obesity,129001082,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent obesity,130001082,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent obesity,131001082,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent obesity,132001082,345,345,PREMIER
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent obesity,133001082,530,530,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent obesity,134001082,27,27,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent obesity,135001082,43,43,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent obesity,136001082,-5,-5,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent obesity,137001082,-5,-5,PREMIER
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent obesity,138001082,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent obesity,139001082,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent obesity,140001082,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent obesity,141001082,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation without  with  Prevalent Dementia,111001092,7,7,PREMIER
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation without  with  Prevalent Dementia,112001092,8,8,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation without  with  Prevalent Dementia,113001092,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation without  with  Prevalent Dementia,114001092,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation without  with  Prevalent Dementia,115001092,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation without  with  Prevalent Dementia,116001092,NA,NA,NA
Persons tested for SARS-CoV-2 with at least 365d prior observation without  with  Prevalent Dementia,126001092,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation without  with  Prevalent Dementia,127001092,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation without  with  Prevalent Dementia,128001092,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation without  with  Prevalent Dementia,129001092,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent Dementia,130001092,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent Dementia,131001092,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent Dementia,132001092,366,366,PREMIER
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent Dementia,133001092,553,553,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent Dementia,134001092,28,28,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent Dementia,135001092,44,44,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent Dementia,136001092,-5,-5,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent Dementia,137001092,-5,-5,PREMIER
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent Dementia,138001092,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent Dementia,139001092,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent Dementia,140001092,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent Dementia,141001092,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation without  with  Prevalent tuberculosis,111001172,7,7,PREMIER
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation without  with  Prevalent tuberculosis,112001172,8,8,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation without  with  Prevalent tuberculosis,113001172,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation without  with  Prevalent tuberculosis,114001172,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation without  with  Prevalent tuberculosis,115001172,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation without  with  Prevalent tuberculosis,116001172,NA,NA,NA
Persons tested for SARS-CoV-2 with at least 365d prior observation without  with  Prevalent tuberculosis,126001172,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation without  with  Prevalent tuberculosis,127001172,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation without  with  Prevalent tuberculosis,128001172,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation without  with  Prevalent tuberculosis,129001172,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent tuberculosis,130001172,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent tuberculosis,131001172,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent tuberculosis,132001172,367,367,PREMIER
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent tuberculosis,133001172,551,551,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent tuberculosis,134001172,29,29,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent tuberculosis,135001172,43,43,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent tuberculosis,136001172,-5,-5,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent tuberculosis,137001172,-5,-5,PREMIER
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent tuberculosis,138001172,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent tuberculosis,139001172,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent tuberculosis,140001172,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent tuberculosis,141001172,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation without  with  Prevalent Autoimmune condition,111001182,7,7,PREMIER
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation without  with  Prevalent Autoimmune condition,112001182,8,8,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation without  with  Prevalent Autoimmune condition,113001182,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation without  with  Prevalent Autoimmune condition,114001182,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation without  with  Prevalent Autoimmune condition,115001182,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation without  with  Prevalent Autoimmune condition,116001182,NA,NA,NA
Persons tested for SARS-CoV-2 with at least 365d prior observation without  with  Prevalent Autoimmune condition,126001182,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation without  with  Prevalent Autoimmune condition,127001182,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation without  with  Prevalent Autoimmune condition,128001182,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation without  with  Prevalent Autoimmune condition,129001182,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent Autoimmune condition,130001182,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent Autoimmune condition,131001182,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent Autoimmune condition,132001182,324,324,PREMIER
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent Autoimmune condition,133001182,510,510,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent Autoimmune condition,134001182,25,25,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent Autoimmune condition,135001182,41,41,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent Autoimmune condition,136001182,-5,-5,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent Autoimmune condition,137001182,-5,-5,PREMIER
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent Autoimmune condition,138001182,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent Autoimmune condition,139001182,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent Autoimmune condition,140001182,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent Autoimmune condition,141001182,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation without  with  Prevalent chronic obstructive pulmonary disease (COPD) without asthma,111001192,7,7,PREMIER
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation without  with  Prevalent chronic obstructive pulmonary disease (COPD) without asthma,112001192,8,8,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation without  with  Prevalent chronic obstructive pulmonary disease (COPD) without asthma,113001192,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation without  with  Prevalent chronic obstructive pulmonary disease (COPD) without asthma,114001192,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation without  with  Prevalent chronic obstructive pulmonary disease (COPD) without asthma,115001192,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation without  with  Prevalent chronic obstructive pulmonary disease (COPD) without asthma,116001192,NA,NA,NA
Persons tested for SARS-CoV-2 with at least 365d prior observation without  with  Prevalent chronic obstructive pulmonary disease (COPD) without asthma,126001192,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation without  with  Prevalent chronic obstructive pulmonary disease (COPD) without asthma,127001192,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation without  with  Prevalent chronic obstructive pulmonary disease (COPD) without asthma,128001192,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation without  with  Prevalent chronic obstructive pulmonary disease (COPD) without asthma,129001192,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent chronic obstructive pulmonary disease (COPD) without asthma,130001192,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent chronic obstructive pulmonary disease (COPD) without asthma,131001192,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent chronic obstructive pulmonary disease (COPD) without asthma,132001192,367,367,PREMIER
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent chronic obstructive pulmonary disease (COPD) without asthma,133001192,554,554,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent chronic obstructive pulmonary disease (COPD) without asthma,134001192,29,29,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent chronic obstructive pulmonary disease (COPD) without asthma,135001192,45,45,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent chronic obstructive pulmonary disease (COPD) without asthma,136001192,-5,-5,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent chronic obstructive pulmonary disease (COPD) without asthma,137001192,-5,-5,PREMIER
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent chronic obstructive pulmonary disease (COPD) without asthma,138001192,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent chronic obstructive pulmonary disease (COPD) without asthma,139001192,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent chronic obstructive pulmonary disease (COPD) without asthma,140001192,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent chronic obstructive pulmonary disease (COPD) without asthma,141001192,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation without  with  Prevalent Asthma without COPD,111001202,7,7,PREMIER
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation without  with  Prevalent Asthma without COPD,112001202,8,8,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation without  with  Prevalent Asthma without COPD,113001202,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation without  with  Prevalent Asthma without COPD,114001202,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation without  with  Prevalent Asthma without COPD,115001202,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation without  with  Prevalent Asthma without COPD,116001202,NA,NA,NA
Persons tested for SARS-CoV-2 with at least 365d prior observation without  with  Prevalent Asthma without COPD,126001202,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation without  with  Prevalent Asthma without COPD,127001202,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation without  with  Prevalent Asthma without COPD,128001202,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation without  with  Prevalent Asthma without COPD,129001202,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent Asthma without COPD,130001202,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent Asthma without COPD,131001202,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent Asthma without COPD,132001202,356,356,PREMIER
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent Asthma without COPD,133001202,542,542,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent Asthma without COPD,134001202,29,29,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent Asthma without COPD,135001202,44,44,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent Asthma without COPD,136001202,-5,-5,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent Asthma without COPD,137001202,-5,-5,PREMIER
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent Asthma without COPD,138001202,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent Asthma without COPD,139001202,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent Asthma without COPD,140001202,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent Asthma without COPD,141001202,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation without  with  Prevalent pre-existing condition of COVID risk factor,111001252,-5,-5,PREMIER
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation without  with  Prevalent pre-existing condition of COVID risk factor,112001252,5,5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation without  with  Prevalent pre-existing condition of COVID risk factor,113001252,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation without  with  Prevalent pre-existing condition of COVID risk factor,114001252,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation without  with  Prevalent pre-existing condition of COVID risk factor,115001252,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation without  with  Prevalent pre-existing condition of COVID risk factor,116001252,NA,NA,NA
Persons tested for SARS-CoV-2 with at least 365d prior observation without  with  Prevalent pre-existing condition of COVID risk factor,126001252,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation without  with  Prevalent pre-existing condition of COVID risk factor,127001252,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation without  with  Prevalent pre-existing condition of COVID risk factor,128001252,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation without  with  Prevalent pre-existing condition of COVID risk factor,129001252,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent pre-existing condition of COVID risk factor,130001252,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent pre-existing condition of COVID risk factor,131001252,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent pre-existing condition of COVID risk factor,132001252,187,187,PREMIER
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent pre-existing condition of COVID risk factor,133001252,362,362,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent pre-existing condition of COVID risk factor,134001252,8,8,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent pre-existing condition of COVID risk factor,135001252,17,17,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent pre-existing condition of COVID risk factor,136001252,NA,NA,NA
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent pre-existing condition of COVID risk factor,137001252,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent pre-existing condition of COVID risk factor,138001252,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent pre-existing condition of COVID risk factor,139001252,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent pre-existing condition of COVID risk factor,140001252,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent pre-existing condition of COVID risk factor,141001252,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation without  with  Pregnant women,111001992,7,7,PREMIER
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation without  with  Pregnant women,112001992,8,8,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation without  with  Pregnant women,113001992,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation without  with  Pregnant women,114001992,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation without  with  Pregnant women,115001992,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation without  with  Pregnant women,116001992,NA,NA,NA
Persons tested for SARS-CoV-2 with at least 365d prior observation without  with  Pregnant women,126001992,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation without  with  Pregnant women,127001992,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation without  with  Pregnant women,128001992,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation without  with  Pregnant women,129001992,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Pregnant women,130001992,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation without  with  Pregnant women,131001992,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Pregnant women,132001992,370,370,PREMIER
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation without  with  Pregnant women,133001992,557,557,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Pregnant women,134001992,30,30,PREMIER
